st_skillid,st_treatcode
2688,2688-14
2688,2688-22
2688,2688-36
2688,2688-41
2688,2688-53
2688,2688-68
2688,2688-96
2688,2688-85
2688,2688-73
2688,2688-03
2688,2688-12
2688,2688-27
2688,2688-31
2688,2688-45
2688,2688-59
2688,2688-66
2688,2688-84
3012,3012-92
3012,3012-18
3012,3012-37
3012,3012-45
3012,3012-58
3012,3012-66
3012,3012-71
3012,3012-89
3038,3038-03
3038,3038-81
3038,3038-77
3038,3038-72
3038,3038-58
3038,3038-54
3038,3038-33
3038,3038-21
3038,3038-19
3038,3038-06
3147,3147-63
3147,3147-66
3147,3147-88
3147,3147-91
3147,3147-44
3147,3147-31
3147,3147-28
3147,3147-17
3147,3147-09
3147,3147-02
3179,3179-19
3179,3179-02
3179,3179-05
3179,3179-21
3179,3179-39
3179,3179-44
3179,3179-57
3179,3179-66
3179,3179-68
3179,3179-85
3179,3179-90
3265,3265-91
3265,3265-06
3265,3265-08
3265,3265-14
3265,3265-22
3265,3265-31
3265,3265-47
3265,3265-59
3265,3265-63
3265,3265-84
3294,3294-79
3294,3294-03
3294,3294-11
3294,3294-18
3294,3294-36
3294,3294-41
3294,3294-55
3294,3294-62
3294,3294-67
3294,3294-88
3389,3389-85
3389,3389-05
3389,3389-11
3389,3389-24
3389,3389-27
3389,3389-39
3389,3389-46
3389,3389-53
3389,3389-68
3389,3389-79
3389,3389-92
3416,3416-05
3416,3416-90
3416,3416-86
3416,3416-72
3416,3416-58
3416,3416-36
3416,3416-32
3416,3416-28
3416,3416-19
3416,3416-07
3498,3498-83
3498,3498-88
3498,3498-08
3498,3498-15
3498,3498-24
3498,3498-33
3498,3498-41
3498,3498-57
3498,3498-02
3498,3498-59
3574,3574-78
3574,3574-91
3574,3574-04
3574,3574-06
3574,3574-18
3574,3574-21
3574,3574-32
3574,3574-49
3574,3574-56
3574,3574-63
3681,3681-07
3681,3681-03
3681,3681-90
3681,3681-88
3681,3681-69
3681,3681-64
3681,3681-45
3681,3681-26
3681,3681-22
3681,3681-12
3926,3926-17
3926,3926-05
3926,3926-95
3926,3926-91
3926,3926-78
3926,3926-73
3926,3926-52
3926,3926-44
3926,3926-29
3926,3926-19
3926,3926-03
5016,5016-64
5016,5016-02
5016,5016-19
5016,5016-24
5016,5016-28
5016,5016-33
5016,5016-37
5016,5016-42
5016,5016-48
5016,5016-53
5016,5016-59
5016,5016-71
5016,5016-86
5239,5239-03
5239,5239-08
5239,5239-12
5239,5239-17
5239,5239-21
5239,5239-31
5239,5239-35
5239,5239-40
5239,5239-46
5239,5239-52
5239,5239-67
5239,5239-89
5478,5478-51
5478,5478-56
5478,5478-02
5478,5478-06
5478,5478-11
5478,5478-15
5478,5478-19
5478,5478-24
5478,5478-28
5478,5478-33
5478,5478-37
5478,5478-42
5478,5478-47
5478,5478-61
5478,5478-66
5478,5478-72
5478,5478-78
5478,5478-84
5478,5478-91
5683,5683-39
5683,5683-02
5683,5683-07
5683,5683-11
5683,5683-87
5683,5683-16
5683,5683-21
5683,5683-25
5683,5683-30
5683,5683-34
5921,5921-33
5921,5921-06
5921,5921-11
5921,5921-15
5921,5921-28
5921,5921-37
5921,5921-41
5921,5921-52
5921,5921-57
5921,5921-63
5921,5921-68
5921,5921-74
5921,5921-93
6014,6014-95
6014,6014-02
6014,6014-05
6014,6014-09
6014,6014-12
6014,6014-16
6014,6014-34
6014,6014-38
6014,6014-43
6014,6014-47
6014,6014-52
6014,6014-56
6014,6014-61
6014,6014-72
6014,6014-78
6014,6014-83
6014,6014-88
6279,6279-58
6279,6279-03
6279,6279-07
6279,6279-16
6279,6279-21
6279,6279-26
6279,6279-33
6279,6279-39
6279,6279-44
6279,6279-71
6543,6543-06
6543,6543-11
6543,6543-19
6543,6543-02
6543,6543-24
6543,6543-28
6543,6543-33
6543,6543-42
6543,6543-48
6543,6543-67
6543,6543-91
6891,6891-08
6891,6891-92
6891,6891-84
6891,6891-78
6891,6891-73
6891,6891-68
6891,6891-64
6891,6891-60
6891,6891-56
6891,6891-52
6891,6891-48
6891,6891-45
6891,6891-42
6891,6891-39
6891,6891-36
6891,6891-33
6891,6891-30
6891,6891-27
6891,6891-24
6891,6891-21
6891,6891-17
6891,6891-14
6891,6891-11
6891,6891-05
6891,6891-02
7003,7003-91
7003,7003-02
7003,7003-05
7003,7003-09
7003,7003-12
7003,7003-16
7003,7003-21
7003,7003-25
7003,7003-29
7003,7003-34
7003,7003-38
7003,7003-43
7003,7003-47
7003,7003-52
7003,7003-56
7003,7003-61
7003,7003-66
7003,7003-72
7003,7003-78
7003,7003-83
7138,7138-04
7138,7138-02
7138,7138-06
7138,7138-08
7138,7138-11
7138,7138-13
7138,7138-15
7138,7138-17
7138,7138-19
7138,7138-22
7138,7138-24
7138,7138-26
7138,7138-28
7138,7138-31
7138,7138-33
7138,7138-35
7138,7138-37
7138,7138-39
7138,7138-42
7138,7138-44
7138,7138-46
7138,7138-48
7138,7138-51
7138,7138-53
7138,7138-55
7138,7138-58
7138,7138-61
7138,7138-64
7138,7138-67
7138,7138-71
7138,7138-89
7295,7295-18
7295,7295-22
7295,7295-27
7295,7295-31
7295,7295-36
7295,7295-02
7295,7295-41
7295,7295-46
7295,7295-52
7295,7295-57
7295,7295-63
7295,7295-74
7295,7295-81
7295,7295-96
7295,7295-05
7295,7295-09
7295,7295-13
7461,7461-60
7461,7461-64
7461,7461-69
7461,7461-73
7461,7461-84
7461,7461-78
7461,7461-92
7461,7461-02
7461,7461-05
7461,7461-09
7461,7461-12
7461,7461-16
7461,7461-19
7461,7461-23
7461,7461-27
7461,7461-31
7461,7461-34
7461,7461-38
7461,7461-42
7461,7461-46
7461,7461-51
7461,7461-55
7684,7684-55
7684,7684-02
7684,7684-04
7684,7684-06
7684,7684-08
7684,7684-11
7684,7684-13
7684,7684-15
7684,7684-17
7684,7684-19
7684,7684-21
7684,7684-23
7684,7684-25
7684,7684-27
7684,7684-29
7684,7684-31
7684,7684-33
7684,7684-35
7684,7684-37
7684,7684-39
7684,7684-42
7684,7684-44
7684,7684-46
7684,7684-48
7684,7684-51
7684,7684-53
7684,7684-57
7684,7684-59
7684,7684-62
7684,7684-64
7684,7684-66
7684,7684-69
7684,7684-78
7684,7684-84
7684,7684-91
7920,7920-99
7920,7920-02
7920,7920-05
7920,7920-09
7920,7920-12
7920,7920-16
7920,7920-21
7920,7920-24
7920,7920-28
7920,7920-33
7920,7920-37
7920,7920-41
7920,7920-46
7920,7920-52
7920,7920-56
7920,7920-61
7920,7920-65
7920,7920-69
7920,7920-73
7920,7920-78
7920,7920-86
7920,7920-89
7920,7920-91
7920,7920-94
7920,7920-96
8126,8126-52
8126,8126-02
8126,8126-05
8126,8126-09
8126,8126-12
8126,8126-16
8126,8126-21
8126,8126-25
8126,8126-29
8126,8126-34
8126,8126-38
8126,8126-43
8126,8126-47
8126,8126-56
8126,8126-66
8126,8126-72
8126,8126-78
8126,8126-83
8126,8126-88
8126,8126-94
9017,9017-24
9017,9017-15
9017,9017-19
9017,9017-02
9017,9017-92
9017,9017-68
9017,9017-57
9017,9017-06
9017,9017-41
9017,9017-11
9483,9483-36
9483,9483-13
9483,9483-07
9483,9483-02
9483,9483-84
9483,9483-58
9483,9483-21
